Date,Time,Open,High,Low,Close
3/11/2009,0:01:00,6899,6904,6899,6901
3/11/2009,0:02:00,6901,6902,6901,6901
3/11/2009,0:04:00,6901,6901,6899,6899
3/11/2009,0:05:00,6899,6899,6898,6898
3/11/2009,0:06:00,6898,6898,6896,6896
3/11/2009,0:08:00,6896,6898,6896,6896
3/11/2009,0:09:00,6896,6899,6895,6899
3/11/2009,0:10:00,6899,6901,6898,6898
3/11/2009,0:11:00,6898,6898,6895,6898
3/11/2009,0:12:00,6898,6898,6896,6898
3/11/2009,0:13:00,6898,6898,6897,6897
3/11/2009,0:14:00,6897,6898,6897,6898
3/11/2009,0:15:00,6898,6907,6898,6907
3/11/2009,0:16:00,6907,6909,6905,6906
3/11/2009,0:17:00,6906,6908,6905,6907
3/11/2009,0:18:00,6907,6910,6907,6910
3/11/2009,0:19:00,6910,6910,6906,6909
3/11/2009,0:20:00,6909,6909,6907,6907
3/11/2009,0:23:00,6907,6911,6906,6911
3/11/2009,0:25:00,6911,6914,6911,6914
3/11/2009,0:26:00,6914,6919,6914,6917
3/11/2009,0:27:00,6917,6919,6914,6919
3/11/2009,0:28:00,6919,6919,6917,6917
3/11/2009,0:29:00,6917,6918,6914,6918
3/11/2009,0:30:00,6918,6919,6916,6919
3/11/2009,0:31:00,6919,6921,6918,6921
3/11/2009,0:32:00,6921,6923,6920,6921
3/11/2009,0:33:00,6921,6922,6921,6922
3/11/2009,0:34:00,6922,6922,6921,6921
3/11/2009,0:35:00,6921,6922,6919,6919
3/11/2009,0:36:00,6919,6921,6919,6920
3/11/2009,0:37:00,6920,6921,6919,6921
3/11/2009,0:38:00,6921,6921,6919,6920
3/11/2009,0:39:00,6920,6921,6919,6919
3/11/2009,0:40:00,6919,6919,6916,6916
3/11/2009,0:41:00,6916,6920,6915,6920
3/11/2009,0:42:00,6920,6921,6920,6921
3/11/2009,0:43:00,6921,6921,6920,6921
3/11/2009,0:44:00,6921,6921,6920,6920
3/11/2009,0:45:00,6920,6921,6920,6920
3/11/2009,0:46:00,6920,6924,6920,6924
3/11/2009,0:47:00,6924,6930,6923,6928
3/11/2009,0:48:00,6928,6936,6928,6932
3/11/2009,0:49:00,6932,6933,6930,6932
3/11/2009,0:50:00,6932,6934,6930,6930
3/11/2009,0:51:00,6930,6931,6928,6928
3/11/2009,0:52:00,6928,6929,6927,6927
3/11/2009,0:53:00,6927,6927,6925,6925
3/11/2009,0:54:00,6925,6926,6925,6926
3/11/2009,0:55:00,6926,6926,6925,6925
3/11/2009,0:56:00,6925,6926,6925,6926
3/11/2009,0:57:00,6926,6926,6924,6924
3/11/2009,0:58:00,6924,6924,6922,6922
3/11/2009,0:59:00,6922,6926,6922,6926
3/11/2009,1:00:00,6926,6932,6926,6932
3/11/2009,1:01:00,6932,6932,6930,6930
3/11/2009,1:02:00,6930,6932,6930,6932
3/11/2009,1:03:00,6932,6932,6930,6930
3/11/2009,1:04:00,6930,6931,6930,6931
3/11/2009,1:07:00,6931,6932,6930,6931
3/11/2009,1:08:00,6931,6934,6931,6933
3/11/2009,1:09:00,6933,6933,6932,6933
3/11/2009,1:10:00,6933,6934,6933,6933
3/11/2009,1:11:00,6933,6934,6932,6933
3/11/2009,1:12:00,6933,6934,6933,6933
3/11/2009,1:13:00,6933,6935,6933,6935
3/11/2009,1:14:00,6935,6935,6933,6933
3/11/2009,1:15:00,6933,6936,6932,6936
3/11/2009,1:16:00,6936,6936,6934,6934
3/11/2009,1:17:00,6934,6936,6934,6935
3/11/2009,1:18:00,6935,6937,6935,6936
3/11/2009,1:21:00,6936,6936,6934,6934
3/11/2009,1:22:00,6934,6935,6933,6933
3/11/2009,1:23:00,6933,6934,6932,6932
3/11/2009,1:24:00,6932,6934,6930,6930
3/11/2009,1:25:00,6930,6931,6930,6930
3/11/2009,1:27:00,6930,6930,6928,6928
3/11/2009,1:28:00,6928,6928,6927,6927
3/11/2009,1:29:00,6927,6928,6925,6925
3/11/2009,1:30:00,6925,6925,6924,6925
3/11/2009,1:31:00,6925,6926,6925,6925
3/11/2009,1:32:00,6925,6928,6925,6926
3/11/2009,1:33:00,6926,6930,6926,6926
3/11/2009,1:34:00,6926,6927,6924,6924
3/11/2009,1:36:00,6924,6924,6922,6922
3/11/2009,1:37:00,6922,6923,6922,6923
3/11/2009,1:38:00,6923,6924,6922,6924
3/11/2009,1:39:00,6924,6924,6922,6922
3/11/2009,1:41:00,6922,6923,6920,6921
3/11/2009,1:42:00,6921,6922,6921,6922
3/11/2009,1:43:00,6922,6922,6921,6922
3/11/2009,1:45:00,6922,6926,6922,6926
3/11/2009,1:46:00,6926,6930,6925,6930
3/11/2009,1:47:00,6930,6930,6929,6930
3/11/2009,1:48:00,6930,6930,6927,6929
