Date,Time,OpenBid,HighBid,LowBid,CloseBid
01/02/2009,09:31:00,1212.23,1212.29,1211.77,1211.77
01/02/2009,09:32:00,1211.53,1212.18,1211.29,1211.29
01/02/2009,09:33:00,1209.11,1209.91,1209.11,1209.91
01/02/2009,09:34:00,1210.3,1211.29,1210.3,1211.28
01/02/2009,09:35:00,1213.51,1214.51,1213.11,1213.11
01/02/2009,09:36:00,1212.79,1212.79,1212.56,1212.71
01/02/2009,09:37:00,1213.65,1214.33,1213.65,1213.75
01/02/2009,09:38:00,1213.39,1213.76,1213.39,1213.76
01/02/2009,09:39:00,1211.32,1213.17,1211.32,1213.17
01/02/2009,09:40:00,1213.92,1215.87,1213.92,1215.87
01/02/2009,09:41:00,1215.61,1216.1,1215.4,1216.1
01/02/2009,09:42:00,1215.74,1215.75,1214.07,1214.07
01/02/2009,09:43:00,1214.36,1214.88,1213.87,1214.88
01/02/2009,09:44:00,1215,1215,1213.35,1214.03
01/02/2009,09:45:00,1214.04,1214.44,1214.04,1214.12
01/02/2009,09:46:00,1214.16,1214.56,1214.16,1214.56
01/02/2009,09:47:00,1214.68,1214.93,1214.62,1214.68
01/02/2009,09:48:00,1215.59,1216.11,1215.59,1216.11
01/02/2009,09:49:00,1216.37,1216.37,1215.54,1215.61
01/02/2009,09:50:00,1215.29,1215.29,1214.28,1214.28
01/02/2009,09:51:00,1213.82,1213.82,1212.87,1212.99
01/02/2009,09:52:00,1212.25,1212.44,1212.21,1212.25
01/02/2009,09:53:00,1212.05,1212.05,1210.24,1210.24
01/02/2009,09:54:00,1210.05,1210.21,1209.27,1210.21
01/02/2009,09:55:00,1209.83,1210.68,1209.83,1209.99
01/02/2009,09:56:00,1209.97,1210.91,1209.97,1210.91
01/02/2009,09:57:00,1211.45,1212.62,1211.38,1212.17
01/02/2009,09:58:00,1212.42,1212.42,1212.26,1212.41
01/02/2009,09:59:00,1212.39,1212.39,1212.33,1212.33
01/02/2009,10:00:00,1212.28,1212.28,1211.26,1212.14
01/02/2009,10:01:00,1212.99,1214.66,1212.99,1214.19
01/02/2009,10:02:00,1213.91,1213.91,1213.16,1213.55
01/02/2009,10:03:00,1213.53,1213.53,1213.41,1213.46
01/02/2009,10:04:00,1212.67,1213.21,1212.54,1213.21
01/02/2009,10:05:00,1213.52,1213.81,1213.52,1213.52
01/02/2009,10:06:00,1213.34,1213.4,1213.29,1213.29
01/02/2009,10:07:00,1213.46,1213.6,1213.14,1213.14
01/02/2009,10:08:00,1213.37,1213.81,1213.37,1213.8
01/02/2009,10:09:00,1213.57,1214.5,1213.57,1214.45
01/02/2009,10:10:00,1214.93,1215.03,1214.62,1214.62
01/02/2009,10:11:00,1214.48,1215.7,1214.48,1215.7
01/02/2009,10:12:00,1215.68,1216.65,1215.68,1216.65
01/02/2009,10:13:00,1216.44,1217.95,1216.44,1217.77
01/02/2009,10:14:00,1217.43,1218.21,1217.43,1218.21
01/02/2009,10:15:00,1217.91,1217.91,1217.57,1217.57
01/02/2009,10:16:00,1217.7,1217.7,1216.89,1217.46
01/02/2009,10:17:00,1217.35,1218.15,1217.35,1217.93
01/02/2009,10:18:00,1217.85,1218.67,1217.85,1218.39
01/02/2009,10:19:00,1218.5,1218.96,1218.5,1218.8
01/02/2009,10:20:00,1219.3,1219.67,1219.3,1219.42
01/02/2009,10:21:00,1219.82,1219.82,1219.32,1219.48
01/02/2009,10:22:00,1219.54,1219.54,1219.2,1219.2
01/02/2009,10:23:00,1219.19,1219.19,1217.97,1217.97
01/02/2009,10:24:00,1217.94,1218.46,1217.94,1218.46
01/02/2009,10:25:00,1218.49,1218.51,1218.21,1218.21
01/02/2009,10:26:00,1218.48,1218.76,1218.48,1218.75
01/02/2009,10:27:00,1219.12,1219.42,1219.12,1219.42
01/02/2009,10:28:00,1219.96,1220.72,1219.96,1220.72
01/02/2009,10:29:00,1220.99,1220.99,1220.74,1220.74
01/02/2009,10:30:00,1220.83,1221.06,1220.83,1221.03
01/02/2009,10:31:00,1220.91,1220.97,1220.91,1220.94
01/02/2009,10:32:00,1220.86,1221.73,1220.81,1221.73
01/02/2009,10:33:00,1222.28,1222.7,1222.28,1222.59
01/02/2009,10:34:00,1223.18,1224.32,1223.18,1224.32
01/02/2009,10:35:00,1224.5,1226.52,1224.5,1226.52
01/02/2009,10:36:00,1227.44,1228.92,1227.44,1228.42
01/02/2009,10:37:00,1228.51,1228.51,1227.29,1227.29
01/02/2009,10:38:00,1227.5,1227.74,1227.5,1227.69
01/02/2009,10:39:00,1228.02,1231.48,1228.02,1231.48
01/02/2009,10:40:00,1232.16,1232.37,1231.69,1231.69
01/02/2009,10:41:00,1231.05,1231.05,1230.32,1230.83
01/02/2009,10:42:00,1230.96,1231,1230.9,1231
01/02/2009,10:43:00,1230.5,1230.66,1229.81,1230.63
01/02/2009,10:44:00,1230.63,1230.63,1230.45,1230.48
01/02/2009,10:45:00,1229.27,1229.45,1229.19,1229.19
01/02/2009,10:46:00,1229.02,1229.93,1229.02,1229.93
01/02/2009,10:47:00,1230.69,1230.7,1230.49,1230.5
01/02/2009,10:48:00,1230.37,1230.75,1230.37,1230.75
01/02/2009,10:49:00,1230.77,1231.31,1230.73,1231.31
01/02/2009,10:50:00,1231.39,1231.39,1230.99,1230.99
01/02/2009,10:51:00,1231.36,1232.27,1231.36,1231.97
01/02/2009,10:52:00,1231.74,1233.25,1231.74,1233.25
01/02/2009,10:53:00,1234.05,1234.36,1233.85,1233.85
01/02/2009,10:54:00,1233.66,1233.94,1233.34,1233.94
01/02/2009,10:55:00,1234.26,1234.52,1234.24,1234.52
01/02/2009,10:56:00,1234.15,1234.49,1234.15,1234.33
01/02/2009,10:57:00,1234.59,1234.86,1234.36,1234.36
01/02/2009,10:58:00,1234.08,1235.19,1234.08,1235.19
01/02/2009,10:59:00,1235.16,1235.16,1234.45,1234.67
01/02/2009,11:00:00,1234.32,1234.5,1233.66,1233.66
01/02/2009,11:01:00,1233.72,1234.28,1233.72,1234.28
01/02/2009,11:02:00,1234.33,1234.91,1234.33,1234.71
01/02/2009,11:03:00,1233.97,1234.34,1233.97,1234.34
01/02/2009,11:04:00,1233.91,1233.91,1233.53,1233.53
01/02/2009,11:05:00,1233.28,1233.28,1232.52,1232.68
